code,pseudonym,gender,age_label,education,relevant_experience,skills,reach_indicator,interaction_indicator,benchmark,additional_information,cell_id,education_level,education_major,productivity_group,reach_value,interaction_value,reach_band,interaction_band,experience_months,age_years,age_months
C-048,Kandidat 048,Laki-laki,23 tahun 4 bulan,"SMK, Administrasi perkantoran",1 tahun 6 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 657,"Rata-rata interaksi per postingan: 115 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film komedi,4,SMK,Administrasi perkantoran,"Jangkauan tinggi, interaksi tinggi",657,115,Jangkauan tinggi,Interaksi tinggi,18,23,4
C-049,Kandidat 049,Perempuan,20 tahun 0 bulan,"SMK, Desain komunikasi visual",1 tahun 0 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 640,"Rata-rata interaksi per postingan: 100 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki ikan peliharaan,4,SMK,Desain komunikasi visual,"Jangkauan tinggi, interaksi tinggi",640,100,Jangkauan tinggi,Interaksi tinggi,12,20,0
C-050,Kandidat 050,Laki-laki,21 tahun 2 bulan,"SMK, Desain komunikasi visual",0 tahun 6 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 1.913,"Rata-rata interaksi per postingan: 31 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film aksi,4,SMK,Desain komunikasi visual,"Jangkauan tinggi, interaksi tinggi",1913,31,Jangkauan tinggi,Interaksi tinggi,6,21,2
C-051,Kandidat 051,Laki-laki,22 tahun 10 bulan,"Diploma, Multimedia",1 tahun 6 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 105,"Rata-rata interaksi per postingan: 6 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka mendengarkan musik K-pop,5,Diploma,Multimedia,"Jangkauan rendah, interaksi rendah",105,6,Jangkauan rendah,Interaksi rendah,18,22,10
C-052,Kandidat 052,Perempuan,22 tahun 0 bulan,"Diploma, Sistem informasi",0 tahun 6 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 156,"Rata-rata interaksi per postingan: 3 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film komedi,5,Diploma,Sistem informasi,"Jangkauan rendah, interaksi rendah",156,3,Jangkauan rendah,Interaksi rendah,6,22,0
C-053,Kandidat 053,Perempuan,22 tahun 11 bulan,"Diploma, Pemasaran digital",1 tahun 0 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 174,"Rata-rata interaksi per postingan: 4 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki ikan peliharaan,5,Diploma,Pemasaran digital,"Jangkauan rendah, interaksi rendah",174,4,Jangkauan rendah,Interaksi rendah,12,22,11
C-054,Kandidat 054,Perempuan,19 tahun 4 bulan,"Diploma, Multimedia",1 tahun 0 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 447,"Rata-rata interaksi per postingan: 20 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka memasak di rumah,5,Diploma,Multimedia,"Jangkauan rendah, interaksi rendah",447,20,Jangkauan rendah,Interaksi rendah,12,19,4
C-055,Kandidat 055,Laki-laki,20 tahun 10 bulan,"Diploma, Pemasaran digital",1 tahun 0 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 315,"Rata-rata interaksi per postingan: 12 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film aksi,5,Diploma,Pemasaran digital,"Jangkauan rendah, interaksi rendah",315,12,Jangkauan rendah,Interaksi rendah,12,20,10
C-056,Kandidat 056,Perempuan,22 tahun 5 bulan,"Diploma, Sistem informasi",1 tahun 6 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 207,"Rata-rata interaksi per postingan: 4 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka mendengarkan musik K-pop,5,Diploma,Sistem informasi,"Jangkauan rendah, interaksi rendah",207,4,Jangkauan rendah,Interaksi rendah,18,22,5
C-057,Kandidat 057,Laki-laki,25 tahun 2 bulan,"Diploma, Multimedia",1 tahun 0 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 123,"Rata-rata interaksi per postingan: 13 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film komedi,5,Diploma,Multimedia,"Jangkauan rendah, interaksi rendah",123,13,Jangkauan rendah,Interaksi rendah,12,25,2
C-058,Kandidat 058,Perempuan,21 tahun 9 bulan,"Diploma, Komunikasi",2 tahun 0 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 113,"Rata-rata interaksi per postingan: 8 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki kucing peliharaan,5,Diploma,Komunikasi,"Jangkauan rendah, interaksi rendah",113,8,Jangkauan rendah,Interaksi rendah,24,21,9
C-059,Kandidat 059,Perempuan,20 tahun 5 bulan,"Diploma, Komunikasi",0 tahun 6 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 100,"Rata-rata interaksi per postingan: 14 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film aksi,5,Diploma,Komunikasi,"Jangkauan rendah, interaksi rendah",100,14,Jangkauan rendah,Interaksi rendah,6,20,5
C-060,Kandidat 060,Laki-laki,22 tahun 4 bulan,"Diploma, Komunikasi",2 tahun 0 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 399,"Rata-rata interaksi per postingan: 10 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka memasak di rumah,5,Diploma,Komunikasi,"Jangkauan rendah, interaksi rendah",399,10,Jangkauan rendah,Interaksi rendah,24,22,4
C-061,Kandidat 061,Perempuan,19 tahun 6 bulan,"Diploma, Komunikasi",2 tahun 0 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 486,"Rata-rata interaksi per postingan: 23 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki ikan peliharaan,5,Diploma,Komunikasi,"Jangkauan rendah, interaksi rendah",486,23,Jangkauan rendah,Interaksi rendah,24,19,6
C-062,Kandidat 062,Laki-laki,22 tahun 11 bulan,"Diploma, Pemasaran digital",0 tahun 6 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 102,"Rata-rata interaksi per postingan: 5 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka memasak di rumah,5,Diploma,Pemasaran digital,"Jangkauan rendah, interaksi rendah",102,5,Jangkauan rendah,Interaksi rendah,6,22,11
C-063,Kandidat 063,Laki-laki,22 tahun 3 bulan,"Diploma, Pemasaran digital",1 tahun 6 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 129,"Rata-rata interaksi per postingan: 21 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki kucing peliharaan,5,Diploma,Pemasaran digital,"Jangkauan rendah, interaksi rendah",129,21,Jangkauan rendah,Interaksi rendah,18,22,3
C-064,Kandidat 064,Perempuan,21 tahun 3 bulan,"Diploma, Pemasaran digital",1 tahun 6 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 101,"Rata-rata interaksi per postingan: 96 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film komedi,6,Diploma,Pemasaran digital,"Jangkauan rendah, interaksi tinggi",101,96,Jangkauan rendah,Interaksi tinggi,18,21,3
C-065,Kandidat 065,Laki-laki,25 tahun 9 bulan,"Diploma, Pemasaran digital",2 tahun 0 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 131,"Rata-rata interaksi per postingan: 122 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka mendengarkan musik K-pop,6,Diploma,Pemasaran digital,"Jangkauan rendah, interaksi tinggi",131,122,Jangkauan rendah,Interaksi tinggi,24,25,9
C-066,Kandidat 066,Perempuan,22 tahun 11 bulan,"Diploma, Komunikasi",2 tahun 0 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 115,"Rata-rata interaksi per postingan: 26 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film komedi,6,Diploma,Komunikasi,"Jangkauan rendah, interaksi tinggi",115,26,Jangkauan rendah,Interaksi tinggi,24,22,11
C-067,Kandidat 067,Laki-laki,25 tahun 0 bulan,"Diploma, Sistem informasi",1 tahun 6 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 101,"Rata-rata interaksi per postingan: 36 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film aksi,6,Diploma,Sistem informasi,"Jangkauan rendah, interaksi tinggi",101,36,Jangkauan rendah,Interaksi tinggi,18,25,0
C-068,Kandidat 068,Perempuan,20 tahun 9 bulan,"Diploma, Komunikasi",1 tahun 0 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 137,"Rata-rata interaksi per postingan: 82 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka mendengarkan musik K-pop,6,Diploma,Komunikasi,"Jangkauan rendah, interaksi tinggi",137,82,Jangkauan rendah,Interaksi tinggi,12,20,9
C-069,Kandidat 069,Laki-laki,20 tahun 2 bulan,"Diploma, Sistem informasi",2 tahun 0 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 422,"Rata-rata interaksi per postingan: 124 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka memasak di rumah,6,Diploma,Sistem informasi,"Jangkauan rendah, interaksi tinggi",422,124,Jangkauan rendah,Interaksi tinggi,24,20,2
C-070,Kandidat 070,Perempuan,24 tahun 6 bulan,"Diploma, Komunikasi",1 tahun 0 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 195,"Rata-rata interaksi per postingan: 38 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki ikan peliharaan,6,Diploma,Komunikasi,"Jangkauan rendah, interaksi tinggi",195,38,Jangkauan rendah,Interaksi tinggi,12,24,6
C-071,Kandidat 071,Perempuan,25 tahun 0 bulan,"Diploma, Komunikasi",0 tahun 6 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 106,"Rata-rata interaksi per postingan: 80 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki kucing peliharaan,6,Diploma,Komunikasi,"Jangkauan rendah, interaksi tinggi",106,80,Jangkauan rendah,Interaksi tinggi,6,25,0
C-072,Kandidat 072,Perempuan,20 tahun 3 bulan,"Diploma, Pemasaran digital",0 tahun 6 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 460,"Rata-rata interaksi per postingan: 44 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki ikan peliharaan,6,Diploma,Pemasaran digital,"Jangkauan rendah, interaksi tinggi",460,44,Jangkauan rendah,Interaksi tinggi,6,20,3
C-073,Kandidat 073,Laki-laki,23 tahun 3 bulan,"Diploma, Multimedia",1 tahun 0 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 109,"Rata-rata interaksi per postingan: 70 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki kucing peliharaan,6,Diploma,Multimedia,"Jangkauan rendah, interaksi tinggi",109,70,Jangkauan rendah,Interaksi tinggi,12,23,3
C-074,Kandidat 074,Laki-laki,20 tahun 10 bulan,"Diploma, Komunikasi",0 tahun 6 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 141,"Rata-rata interaksi per postingan: 56 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka memasak di rumah,6,Diploma,Komunikasi,"Jangkauan rendah, interaksi tinggi",141,56,Jangkauan rendah,Interaksi tinggi,6,20,10
C-075,Kandidat 075,Laki-laki,21 tahun 10 bulan,"Diploma, Sistem informasi",1 tahun 6 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 144,"Rata-rata interaksi per postingan: 43 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film aksi,6,Diploma,Sistem informasi,"Jangkauan rendah, interaksi tinggi",144,43,Jangkauan rendah,Interaksi tinggi,18,21,10
C-076,Kandidat 076,Perempuan,25 tahun 1 bulan,"Diploma, Multimedia",1 tahun 6 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 1.706,"Rata-rata interaksi per postingan: 3 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film komedi,7,Diploma,Multimedia,"Jangkauan tinggi, interaksi rendah",1706,3,Jangkauan tinggi,Interaksi rendah,18,25,1
C-077,Kandidat 077,Perempuan,23 tahun 9 bulan,"Diploma, Multimedia",2 tahun 0 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 693,"Rata-rata interaksi per postingan: 3 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film komedi,7,Diploma,Multimedia,"Jangkauan tinggi, interaksi rendah",693,3,Jangkauan tinggi,Interaksi rendah,24,23,9
C-078,Kandidat 078,Laki-laki,25 tahun 1 bulan,"Diploma, Multimedia",2 tahun 0 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 575,"Rata-rata interaksi per postingan: 7 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film aksi,7,Diploma,Multimedia,"Jangkauan tinggi, interaksi rendah",575,7,Jangkauan tinggi,Interaksi rendah,24,25,1
C-079,Kandidat 079,Laki-laki,22 tahun 6 bulan,"Diploma, Komunikasi",1 tahun 6 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 1.175,"Rata-rata interaksi per postingan: 4 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka memasak di rumah,7,Diploma,Komunikasi,"Jangkauan tinggi, interaksi rendah",1175,4,Jangkauan tinggi,Interaksi rendah,18,22,6
C-080,Kandidat 080,Perempuan,25 tahun 6 bulan,"Diploma, Multimedia",1 tahun 6 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 1.201,"Rata-rata interaksi per postingan: 22 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film aksi,7,Diploma,Multimedia,"Jangkauan tinggi, interaksi rendah",1201,22,Jangkauan tinggi,Interaksi rendah,18,25,6
C-081,Kandidat 081,Perempuan,19 tahun 2 bulan,"Diploma, Multimedia",1 tahun 0 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 1.227,"Rata-rata interaksi per postingan: 6 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka mendengarkan musik K-pop,7,Diploma,Multimedia,"Jangkauan tinggi, interaksi rendah",1227,6,Jangkauan tinggi,Interaksi rendah,12,19,2
C-082,Kandidat 082,Laki-laki,22 tahun 4 bulan,"Diploma, Sistem informasi",0 tahun 6 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 1.424,"Rata-rata interaksi per postingan: 3 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki kucing peliharaan,7,Diploma,Sistem informasi,"Jangkauan tinggi, interaksi rendah",1424,3,Jangkauan tinggi,Interaksi rendah,6,22,4
C-083,Kandidat 083,Laki-laki,24 tahun 7 bulan,"Diploma, Komunikasi",1 tahun 0 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 2.098,"Rata-rata interaksi per postingan: 15 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki ikan peliharaan,7,Diploma,Komunikasi,"Jangkauan tinggi, interaksi rendah",2098,15,Jangkauan tinggi,Interaksi rendah,12,24,7
C-084,Kandidat 084,Laki-laki,22 tahun 2 bulan,"Diploma, Pemasaran digital",0 tahun 6 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 787,"Rata-rata interaksi per postingan: 5 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka mendengarkan musik K-pop,7,Diploma,Pemasaran digital,"Jangkauan tinggi, interaksi rendah",787,5,Jangkauan tinggi,Interaksi rendah,6,22,2
C-085,Kandidat 085,Perempuan,20 tahun 4 bulan,"Diploma, Sistem informasi",0 tahun 6 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 2.214,"Rata-rata interaksi per postingan: 18 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki kucing peliharaan,7,Diploma,Sistem informasi,"Jangkauan tinggi, interaksi rendah",2214,18,Jangkauan tinggi,Interaksi rendah,6,20,4
C-086,Kandidat 086,Laki-laki,22 tahun 2 bulan,"Diploma, Pemasaran digital",1 tahun 0 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 1.002,"Rata-rata interaksi per postingan: 17 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka memasak di rumah,7,Diploma,Pemasaran digital,"Jangkauan tinggi, interaksi rendah",1002,17,Jangkauan tinggi,Interaksi rendah,12,22,2
C-087,Kandidat 087,Perempuan,23 tahun 6 bulan,"Diploma, Pemasaran digital",2 tahun 0 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 500,"Rata-rata interaksi per postingan: 3 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki ikan peliharaan,7,Diploma,Pemasaran digital,"Jangkauan tinggi, interaksi rendah",500,3,Jangkauan tinggi,Interaksi rendah,24,23,6
C-088,Kandidat 088,Laki-laki,20 tahun 7 bulan,"Diploma, Sistem informasi",1 tahun 0 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 807,"Rata-rata interaksi per postingan: 84 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka mendengarkan musik K-pop,8,Diploma,Sistem informasi,"Jangkauan tinggi, interaksi tinggi",807,84,Jangkauan tinggi,Interaksi tinggi,12,20,7
C-089,Kandidat 089,Laki-laki,25 tahun 5 bulan,"Diploma, Komunikasi",2 tahun 0 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 912,"Rata-rata interaksi per postingan: 39 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film komedi,8,Diploma,Komunikasi,"Jangkauan tinggi, interaksi tinggi",912,39,Jangkauan tinggi,Interaksi tinggi,24,25,5
C-090,Kandidat 090,Perempuan,24 tahun 11 bulan,"Diploma, Multimedia",0 tahun 6 bulan,"Fotografi produk, Canva, konten katalog",Rata-rata akun yang dijangkau per postingan: 514,"Rata-rata interaksi per postingan: 142 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka mendengarkan musik K-pop,8,Diploma,Multimedia,"Jangkauan tinggi, interaksi tinggi",514,142,Jangkauan tinggi,Interaksi tinggi,6,24,11
C-091,Kandidat 091,Laki-laki,24 tahun 6 bulan,"Diploma, Sistem informasi",2 tahun 0 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 2.375,"Rata-rata interaksi per postingan: 51 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film komedi,8,Diploma,Sistem informasi,"Jangkauan tinggi, interaksi tinggi",2375,51,Jangkauan tinggi,Interaksi tinggi,24,24,6
C-092,Kandidat 092,Perempuan,20 tahun 6 bulan,"Diploma, Pemasaran digital",1 tahun 6 bulan,"CapCut, penyuntingan video pendek, riset tren",Rata-rata akun yang dijangkau per postingan: 2.175,"Rata-rata interaksi per postingan: 77 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka memasak di rumah,8,Diploma,Pemasaran digital,"Jangkauan tinggi, interaksi tinggi",2175,77,Jangkauan tinggi,Interaksi tinggi,18,20,6
C-093,Kandidat 093,Laki-laki,20 tahun 3 bulan,"Diploma, Multimedia",1 tahun 0 bulan,"Meta Business Suite, penjadwalan konten, penanganan pesan pelanggan",Rata-rata akun yang dijangkau per postingan: 711,"Rata-rata interaksi per postingan: 129 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Suka menonton film aksi,8,Diploma,Multimedia,"Jangkauan tinggi, interaksi tinggi",711,129,Jangkauan tinggi,Interaksi tinggi,12,20,3
C-094,Kandidat 094,Perempuan,19 tahun 4 bulan,"Diploma, Sistem informasi",1 tahun 6 bulan,"Canva, penulisan caption, perencanaan konten",Rata-rata akun yang dijangkau per postingan: 1.949,"Rata-rata interaksi per postingan: 113 (gabungan likes, komentar, repost, share, dan save)","Benchmark kumpulan talenta: minimum 100, median 500, maksimum 2.500 akun dijangkau per postingan; minimum 3, median 25, maksimum 150 interaksi per postingan",Memiliki kucing peliharaan,8,Diploma,Sistem informasi,"Jangkauan tinggi, interaksi tinggi",1949,113,Jangkauan tinggi,Interaksi tinggi,18,19,4
